category,skos_concept,URI,ID,URL,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/154/S_JVM_photo_JvmKDBA01003,/154/S_JVM_photo_JvmKDBA01003,http://mm.dimu.org/image/0231yxCUA8By?dimension=1200x1200,,,
building drawing,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/437/item_PZPEPX26XGSVM3NFILTCBRDSV76QPQ46,/437/item_PZPEPX26XGSVM3NFILTCBRDSV76QPQ46,http://fotothek.slub-dresden.de/fotos/df_tg_0007473.jpg,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/188/item_BZGOUFNAXBXOX3RVPNWL6GAXR3KH2AVJ,/188/item_BZGOUFNAXBXOX3RVPNWL6GAXR3KH2AVJ,http://fotothek.slub-dresden.de/fotos/df_hauptkatalog_0010497.jpg,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/154/S_JVM_photo_JvmKDAE02031,/154/S_JVM_photo_JvmKDAE02031,http://mm.dimu.org/image/0331ywrjcM6E?dimension=1200x1200,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/154/S_JVM_photo_JvmKDAC00026,/154/S_JVM_photo_JvmKDAC00026,http://mm.dimu.org/image/0231ywyP58Wd?dimension=1200x1200,,,
sculpture photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/2058612/object_CHB_bfbcf6789309786bc5ca4cd2a6bb6abc2e0a5b48,/2058612/object_CHB_bfbcf6789309786bc5ca4cd2a6bb6abc2e0a5b48,https://upload.wikimedia.org/wikipedia/commons/a/a3/Santa_Coloma_de_Queralt%2C_Santa_Maria_de_Bell-Lloc-PM_24638.jpg,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/134/S_VGM_photo_1M16_2018_8_26_A,/134/S_VGM_photo_1M16_2018_8_26_A,https://mm.dimu.org/image/0331xxCxUWZS?dimension=1200x1200,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/134/S_VGM_photo_1M16_2018_8_498_A,/134/S_VGM_photo_1M16_2018_8_498_A,https://mm.dimu.org/image/02347wYvVDNs?dimension=1200x1200,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/75/S_VLM_photo_17011_BFG_122364,/75/S_VLM_photo_17011_BFG_122364,http://mm.dimu.org/image/0331uUNKbwUo?dimension=1200x1200,,,
photograph postcard,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/916118/S_TEK_photo_TEKA0018617,/916118/S_TEK_photo_TEKA0018617,https://mm.dimu.org/image/032ykVURmwuP?dimension=1200x1200,,,
building woodwork photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/916118/S_TEK_photo_TEKA0018374,/916118/S_TEK_photo_TEKA0018374,https://mm.dimu.org/image/032ykVUQLe6U?dimension=1200x1200,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/916121/S_OLM_photo_OLM_1958_239,/916121/S_OLM_photo_OLM_1958_239,https://mm.dimu.org/image/032wYzbD6VpU?dimension=1200x1200,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/916118/S_TEK_photo_TEKA0010027,/916118/S_TEK_photo_TEKA0010027,https://mm.dimu.org/image/022yizGEse2C?dimension=1200x1200,,,
photograph painting,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/91672/MM_foto_2392337,/91672/MM_foto_2392337,http://carlotta.malmo.se/carlotta-mmus/web/image/zoom/2392340/DM+000849.jpg,,,
photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/91672/MM_foto_2119607,/91672/MM_foto_2119607,http://carlotta.malmo.se/carlotta-mmus/web/image/zoom/2119610/MM+062940_509.jpg,,,
photograph woodwork,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/916118/S_TEK_photo_TEKA0018577,/916118/S_TEK_photo_TEKA0018577,https://mm.dimu.org/image/022ykVURmwbi?dimension=1200x1200,,,
photograph building,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/916121/S_OLM_photo_OLM_2008_21_372,/916121/S_OLM_photo_OLM_2008_21_372,https://mm.dimu.org/image/032wZWVCUpqH?dimension=1200x1200,,,
photograph building,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/2058612/object_CHB_5b2499b10bde6cd07a0413e2ddf465745e275b96,/2058612/object_CHB_5b2499b10bde6cd07a0413e2ddf465745e275b96,https://upload.wikimedia.org/wikipedia/commons/1/17/Oncala_PM_73128_E.jpg,,,
photograph building,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/2058612/object_CHB_b4f26a5d5a76f448500e3f4e14161a1573431a84,/2058612/object_CHB_b4f26a5d5a76f448500e3f4e14161a1573431a84,https://upload.wikimedia.org/wikipedia/commons/f/f0/Monestir_de_Poblet-PM_26245.jpg,,,
photograph building,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/916123/SLM_item_344193,/916123/SLM_item_344193,https://sokisamlingar.sormlandsmuseum.se/files/original/86da2868e4ed1bbfb94ddbd3d8ade65a.JPG,,,
photograph inscription,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/2058612/object_CHB_adab089707687642d6c86c99c483eaffada4d885,/2058612/object_CHB_adab089707687642d6c86c99c483eaffada4d885,https://upload.wikimedia.org/wikipedia/commons/d/de/PM_58779_E_LEstany.jpg,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/154/S_JVM_photo_JvmKBDB15411,/154/S_JVM_photo_JvmKBDB15411,http://mm.dimu.org/image/0231yTCoX7id?dimension=1200x1200,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/154/S_JVM_photo_JvmKBFF00101,/154/S_JVM_photo_JvmKBFF00101,http://mm.dimu.org/image/0331yTRgiY7b?dimension=1200x1200,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/188/item_4FHHTWOJZGILVQFM2C3V6SOCCA3DTVYX,/188/item_4FHHTWOJZGILVQFM2C3V6SOCCA3DTVYX,http://fotothek.slub-dresden.de/fotos/df_hauptkatalog_0008489.jpg,,,
building photograph postcard,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/154/S_JVM_photo_JvmKDAH00470,/154/S_JVM_photo_JvmKDAH00470,http://mm.dimu.org/image/0331yx5x8JEL?dimension=1200x1200,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/916123/SLM_item_337755,/916123/SLM_item_337755,https://sokisamlingar.sormlandsmuseum.se/files/original/5d67f65991e44ec59f1afebd3d13f345.JPG,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/2058612/object_CHB_e99654805927f954410965ad73269c6ab214dace,/2058612/object_CHB_e99654805927f954410965ad73269c6ab214dace,https://upload.wikimedia.org/wikipedia/commons/5/50/Alca%C3%B1iz%2C_Iglesia_de_Santa_Mar%C3%ADa_la_Mayor_PM_52254.jpg,,,
sculpture photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/2058612/object_CHB_c0ec0e1e931e1d90c85970357123a5b2cbe6eae3,/2058612/object_CHB_c0ec0e1e931e1d90c85970357123a5b2cbe6eae3,https://upload.wikimedia.org/wikipedia/commons/f/f0/Tarragona%2C_Catedral_de_Santa_Mar%C3%ADa-PM_40733.jpg,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/2058612/object_CHB_b14e485dd4ef4ab269609913bcc32eb4c3f97f0a,/2058612/object_CHB_b14e485dd4ef4ab269609913bcc32eb4c3f97f0a,https://upload.wikimedia.org/wikipedia/commons/a/af/Roda_d%27Is%C3%A0vena%2C_catedral-PM_52667.jpg,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/916123/SLM_item_390481,/916123/SLM_item_390481,https://sokisamlingar.sormlandsmuseum.se/files/original/d1e7cdf1f9a395929fb8e1eea613f0a1.jpg,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/916123/SLM_item_402773,/916123/SLM_item_402773,https://sokisamlingar.sormlandsmuseum.se/files/original/b3509a6fd2c5e7672a6b585ce647ea6d.JPG,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/916123/SLM_item_359701,/916123/SLM_item_359701,https://sokisamlingar.sormlandsmuseum.se/files/original/d52afb1f8b8e9ba4a8fdf3ffa13b55d3.JPG,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/916121/S_OLM_photo_OLM_2003_25_832,/916121/S_OLM_photo_OLM_2003_25_832,https://mm.dimu.org/image/022wYWVjorw1?dimension=1200x1200,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/91652/KBG_photo_KBGF050174,/91652/KBG_photo_KBGF050174,http://mm.dimu.org/image/022ykyLp1Fc4?dimension=1200x1200,,,
building photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/2058612/object_CHB_9d63acfa32d052058785a98187cd036da505dfd3,/2058612/object_CHB_9d63acfa32d052058785a98187cd036da505dfd3,https://upload.wikimedia.org/wikipedia/commons/0/00/Leyre%2C_Monasterio_San_Salvador-PM_32285.jpg,,,
photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/91627/SMVK_EM_fotografi_2791147,/91627/SMVK_EM_fotografi_2791147,http://collections.smvk.se/carlotta-em/web/image/zoom/2791150/0307.b.0012.c.jpg,,,
photograph,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/91616/arme_photo_AMA0016092,/91616/arme_photo_AMA0016092,https://mm.dimu.org/image/0334ASJVsSHX?dimension=1200x1200,,,
building drawing,http://data.europeana.eu/concept/base/29,http://data.europeana.eu/item/91625/nomu_photo_NMAR0000194,/91625/nomu_photo_NMAR0000194,http://mm.dimu.org/image/022s8Z6x3DYW?dimension=1200x1200,,,
ceramics photograph,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/2022608/OMU_OB_R11269e,/2022608/OMU_OB_R11269e,http://mm.dimu.no/image/022uK3D4DqBW?dimension=800x800,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91643/SMVK_OM_objekt_167260,/91643/SMVK_OM_objekt_167260,http://collections.smvk.se/carlotta-om/web/image/zoom/926067/K-03233-320%2801%29.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_56857,/91608/SMVK_VKM_objekt_56857,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1030562/zoom,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_58981,/91608/SMVK_VKM_objekt_58981,http://collections.smvk.se/carlotta-vkm/web/image/zoom/2143245/image.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_A08D12D2FA9F47BA8BD5D908A4BB702A,/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_A08D12D2FA9F47BA8BD5D908A4BB702A,http://clasate.cimec.ro/medium/ARH_6966500_1334-3.jpg,,,
ceramics sculpture,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_4054,/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_4054,http://emp-web-22.zetcom.ch/eMuseumPlus?service=ImageAsset&module=collection&objectId=4054&viewType=detailView&resolution=superImageResolution,,,
ceramics sculpture,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91619/SMVK_EM_objekt_1001865,/91619/SMVK_EM_objekt_1001865,http://collections.smvk.se/carlotta-em/web/image/zoom/1147973/1947.44.0066.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/916124/S_XLM_object_XLM39993,/916124/S_XLM_object_XLM39993,http://mm.dimu.org/image/02347TTc49jn?dimension=1200x1200,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_76346,/91608/SMVK_VKM_objekt_76346,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1257688/image.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_58440,/91608/SMVK_VKM_objekt_58440,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1068249/zoom,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91619/SMVK_EM_objekt_1008153,/91619/SMVK_EM_objekt_1008153,http://collections.smvk.se/carlotta-em/web/image/zoom/1175656/1907.52.0146.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/916106/vbg_object_VM24195_i,/916106/vbg_object_VM24195_i,http://mm.dimu.org/image/022uLXBHnLhv?dimension=1200x1200,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_76696,/91608/SMVK_VKM_objekt_76696,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1258216/image.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_85658,/91608/SMVK_VKM_objekt_85658,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1264797/image.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/916119/blm_item_8109,/916119/blm_item_8109,https://blm.kulturhotell.se/files/original/d56dc99b126c2f7f5d01d81717373dba.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_88628,/91608/SMVK_VKM_objekt_88628,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1055594/zoom,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_91235,/91608/SMVK_VKM_objekt_91235,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1063150/zoom,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91643/SMVK_OM_objekt_100317,/91643/SMVK_OM_objekt_100317,http://collections.smvk.se/carlotta-om/web/image/zoom/312149/representation,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91643/SMVK_OM_objekt_133550,/91643/SMVK_OM_objekt_133550,http://collections.smvk.se/carlotta-om/web/image/zoom/308163/representation,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_77286,/91608/SMVK_VKM_objekt_77286,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1289133/image.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91644/SMVK_MM_Egypt_3007183,/91644/SMVK_MM_Egypt_3007183,http://collections.smvk.se/carlotta-mhm/web/image/zoom/3738044/representation,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91644/SMVK_MM_Egypt_3008918,/91644/SMVK_MM_Egypt_3008918,http://collections.smvk.se/carlotta-mhm/web/image/zoom/3748748/representation,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91643/SMVK_OM_objekt_574785,/91643/SMVK_OM_objekt_574785,http://collections.smvk.se/carlotta-om/web/image/zoom/847260/2017-0037%28OM002048%29.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_9F1145B4F2384D6A917712B7811A4BB7,/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_9F1145B4F2384D6A917712B7811A4BB7,http://clasate.cimec.ro/medium/ARH_6924500_881-6.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91644/SMVK_MM_Egypt_3013124,/91644/SMVK_MM_Egypt_3013124,http://collections.smvk.se/carlotta-mhm/web/image/zoom/3982002/image.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_8C7EA9D2BB31492D8611848CB76F5442,/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_8C7EA9D2BB31492D8611848CB76F5442,http://clasate.cimec.ro/medium/ARH_6966500_764-22.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_E6A36CC8D4FD4068B0635B28FF924217,/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_E6A36CC8D4FD4068B0635B28FF924217,http://clasate.cimec.ro/medium/ARH_6956500_50-6.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_93517,/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_93517,http://emp-web-22.zetcom.ch/eMuseumPlus?service=ImageAsset&module=collection&objectId=93517&viewType=detailView&resolution=superImageResolution,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_E6D666DE378443428F1C9DA501773F67,/2048047/Athena_Plus_ProvidedCHO_Institutul_Na_ional_al_Patrimoniului_E6D666DE378443428F1C9DA501773F67,http://clasate.cimec.ro/medium/ETN_6960500_1088-27.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_34774,/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_34774,http://emp-web-22.zetcom.ch/eMuseumPlus?service=ImageAsset&module=collection&objectId=34774&viewType=detailView&resolution=superImageResolution,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_31975,/91608/SMVK_VKM_objekt_31975,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1143438/zoom,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/916124/S_XLM_photo_XLMCL000754,/916124/S_XLM_photo_XLMCL000754,http://mm.dimu.org/image/022yiV3Wdc5r?dimension=1200x1200,,,
ceramics sculpture,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91643/SMVK_OM_objekt_117710,/91643/SMVK_OM_objekt_117710,http://collections.smvk.se/carlotta-om/web/image/zoom/316101/representation,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/916106/vbg_object_VM24179,/916106/vbg_object_VM24179,http://mm.dimu.org/image/032uLXBHmfy9?dimension=1200x1200,,,
ceramics sculpture,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_50219,/91608/SMVK_VKM_objekt_50219,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1291689/image.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/916106/vbg_object_VM18961,/916106/vbg_object_VM18961,http://mm.dimu.org/image/032uLWxMbvmW?dimension=1200x1200,,,
ceramics sculpture,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_68079,/91608/SMVK_VKM_objekt_68079,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1037370/zoom,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_43285,/91608/SMVK_VKM_objekt_43285,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1155802/zoom,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/916124/S_XLM_object_XLM20187,/916124/S_XLM_object_XLM20187,http://mm.dimu.org/image/0331uUUwaPc6?dimension=1200x1200,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_34823,/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_34823,http://emp-web-22.zetcom.ch/eMuseumPlus?service=ImageAsset&module=collection&objectId=34823&viewType=detailView&resolution=superImageResolution,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_93082,/91608/SMVK_VKM_objekt_93082,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1025162/zoom,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_92732,/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_92732,http://emp-web-22.zetcom.ch/eMuseumPlus?service=ImageAsset&module=collection&objectId=92732&viewType=detailView&resolution=superImageResolution,,,
ceramics sculpture,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_53442,/91608/SMVK_VKM_objekt_53442,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1108274/zoom,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91643/SMVK_OM_objekt_101083,/91643/SMVK_OM_objekt_101083,http://collections.smvk.se/carlotta-om/web/image/zoom/387364/representation,,,
ceramics sculpture,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_102166,/91608/SMVK_VKM_objekt_102166,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1147993/zoom,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/916119/blm_item_11748,/916119/blm_item_11748,https://blm.kulturhotell.se/files/original/d9f5dda8083488e0f9eec2cb4ce259eb.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_95042,/2048005/Athena_Plus_ProvidedCHO_Nationalmuseum__Sweden_95042,http://emp-web-22.zetcom.ch/eMuseumPlus?service=ImageAsset&module=collection&objectId=95042&viewType=detailView&resolution=superImageResolution,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/2022613/artefacts_C4264_69837__f_html,/2022613/artefacts_C4264_69837__f_html,http://www.unimus.no/felles/bilder/web_hent_bilde.php?id=8424308&type=small,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_84729,/91608/SMVK_VKM_objekt_84729,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1284072/image.jpg,,,
ceramics,http://data.europeana.eu/concept/base/31,http://data.europeana.eu/item/91608/SMVK_VKM_objekt_88062,/91608/SMVK_VKM_objekt_88062,http://collections.smvk.se/carlotta-vkm/web/image/zoom/1052982/zoom,,,
drawing,http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/90402/RP_T_1981_233,/90402/RP_T_1981_233,https://lh3.ggpht.com/LoyyOhlR_bJIdiP0sUAGDBd5yLQ_JUQWR1xXG5awhhtThCtDEJpspOP4tTbJO_YCluSLnM4qEIIlwywENFCS7Lpe6Gc=s0,,,
drawing,http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2021657/resource_document_museon_71679,/2021657/resource_document_museon_71679,https://cc.museon.nl/cc/imageproxy.ashx?server=localhost&port=17512&filename=images/geschiedenis/MUSE01_5325_X.jpg,,,
drawing map,http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/90402/RP_T_00_3661B_14,/90402/RP_T_00_3661B_14,https://lh5.ggpht.com/0FleDUOWaYL5n2aLKXA4yOKeTOmniGHiKVUqaKgVeXspIJuch0oolgZTopZoNTl9Ae-fiBI72LgkdA87ACRtEeErfbc=s0,,,
drawing,http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/9200579/r5mmx982,/9200579/r5mmx982,"https://iiif.wellcomecollection.org/image/V0016918.jpg/full/512,/0/default.jpg",,,
drawing,http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/90402/RP_T_1942_149,/90402/RP_T_1942_149,https://lh6.ggpht.com/YWIC2be1mJWZw1mAlgmlEwnDT9iRx3gk19pcicQ6j_2rA2_eoTBBVBdhC5SZHDdnq6HgZ8xqA2pYUkJW_dWn7oVykA=s0,,,
drawing,http://data.europeana.eu/concept/base/35,http://data.europeana.eu/item/2020903/KKSgb4714,/2020903/KKSgb4714,http://cspic.smk.dk/globus/GLOBUS%202003/globus%20november%202003/kksgb4714.jpg,,,
